benchmark,n,time,cpu,iterations
ordered_cotrain,4,200,296,3488558
ordered_cotrain,8,283,417,2478276
ordered_cotrain,16,433,655,1609550
ordered_cotrain,32,747,1144,942453
ordered_cotrain,64,1375,2120,509531
ordered_cotrain,128,2640,4092,265324
ordered_cotrain,256,5337,8136,131096
ordered_cotrain,512,10251,15818,68331
ordered_cotrain,1024,20314,31132,34424
positive_ordered_cotrain,2,171,244,4094094
positive_ordered_cotrain,4,212,312,3304672
positive_ordered_cotrain,8,287,423,2429764
positive_ordered_cotrain,16,435,658,1607677
positive_ordered_cotrain,32,747,1143,930849
positive_ordered_cotrain,64,1371,2090,512834
positive_ordered_cotrain,128,2645,4077,264369
positive_ordered_cotrain,256,5270,8072,133653
positive_ordered_cotrain,512,10081,15456,69615
positive_ordered_cotrain,1024,19996,30660,35053
simplex_cotrain,2,243,315,2876650
simplex_cotrain,4,351,448,1993679
simplex_cotrain,8,588,722,1188480
simplex_cotrain,16,1057,1277,661086
simplex_cotrain,32,1950,2343,358907
simplex_cotrain,64,3747,4500,185020
simplex_cotrain,128,7423,8882,94138
simplex_cotrain,256,14689,17507,47591
simplex_cotrain,512,28749,34349,24290
simplex_cotrain,1024,57008,67834,12264
