benchmark,n,time,cpu,iterations
multiply_lower_tri_self_trapose,256,28680492,29371184,24
multiply_lower_tri_self_trapose,512,629763845,632501163,1
multiply_lower_tri_self_trapose,1024,5240552768,5250600008,1
colum_dot_product,2,169,382,4141279
colum_dot_product,4,294,737,2395507
colum_dot_product,8,618,2001,1131716
colum_dot_product,16,1482,7144,468905
colum_dot_product,32,4331,26243,161496
colum_dot_product,64,14080,100423,49595
colum_dot_product,128,52250,399444,13413
colum_dot_product,256,262590,1659267,2664
colum_dot_product,512,2149798,8175523,326
colum_dot_product,1024,8534209,32901480,83
rows_dot_product,2,313,523,2198762
rows_dot_product,4,571,1014,1236016
rows_dot_product,8,1167,2615,606224
rows_dot_product,16,2664,8388,262852
rows_dot_product,32,7387,29374,94589
rows_dot_product,64,27561,114264,25388
rows_dot_product,128,156442,504746,4472
rows_dot_product,256,2146828,3544644,326
rows_dot_product,512,20123122,25958174,35
rows_dot_product,1024,110595039,134738241,6
cauchy_lpdf,2,279,495,2506750
cauchy_lpdf,4,390,700,1793642
cauchy_lpdf,8,613,1091,1141428
cauchy_lpdf,16,1086,1927,643738
cauchy_lpdf,32,1955,3515,358318
cauchy_lpdf,64,3658,6671,191139
cauchy_lpdf,128,7049,12899,99307
cauchy_lpdf,256,14059,25860,49778
cauchy_lpdf,512,27834,51185,25171
cauchy_lpdf,1024,55260,101470,12697
cauchy_cdf,2,209,421,3341224
cauchy_cdf,4,294,604,2355135
cauchy_cdf,8,462,942,1512811
cauchy_cdf,16,807,1645,867283
cauchy_cdf,32,1473,3031,475328
cauchy_cdf,64,2758,5794,254138
cauchy_cdf,128,5324,11251,131204
cauchy_cdf,256,10566,22504,66118
cauchy_cdf,512,21025,44472,33336
cauchy_cdf,1024,42919,89210,16309
cauchy_lcdf,2,243,457,2879138
cauchy_lcdf,4,366,676,1913308
cauchy_lcdf,8,606,1091,1157145
cauchy_lcdf,16,1089,1931,642822
cauchy_lcdf,32,2057,3620,340564
cauchy_lcdf,64,3969,6998,176184
cauchy_lcdf,128,7779,13695,90008
cauchy_lcdf,256,15438,27267,45312
cauchy_lcdf,512,30712,53925,22778
cauchy_lcdf,1024,61247,107306,11448
cauchy_lccdf,2,243,456,2882041
cauchy_lccdf,4,364,674,1928059
cauchy_lccdf,8,604,1088,1158343
cauchy_lccdf,16,1087,1929,644091
cauchy_lccdf,32,2056,3620,340591
cauchy_lccdf,64,3977,6961,176263
cauchy_lccdf,128,7787,13606,89998
cauchy_lccdf,256,15446,27132,45340
cauchy_lccdf,512,30704,53956,22778
cauchy_lccdf,1024,61206,107267,11461
cauchy_lpdf_data,2,249,460,2813127
cauchy_lpdf_data,4,351,656,1996033
cauchy_lpdf_data,8,563,1022,1246897
cauchy_lpdf_data,16,1009,1814,693020
cauchy_lpdf_data,32,1816,3286,385359
cauchy_lpdf_data,64,3450,6276,202961
cauchy_lpdf_data,128,6702,12200,104331
cauchy_lpdf_data,256,13287,24320,52636
cauchy_lpdf_data,512,26402,48020,26538
cauchy_lpdf_data,1024,52214,94968,13417
cauchy_cdf_data,2,177,381,3950162
cauchy_cdf_data,4,263,558,2663508
