benchmark,n,time,cpu,iterations
multiply_lower_tri_self_trapose,256,58083590,58752435,12
multiply_lower_tri_self_trapose,512,1344097452,1346160440,1
multiply_lower_tri_self_trapose,1024,11433059189,11438935858,1
colum_dot_product,2,133,344,5241948
colum_dot_product,4,242,674,2879925
colum_dot_product,8,493,1902,1422711
colum_dot_product,16,1277,6798,546788
colum_dot_product,32,4009,26028,174248
colum_dot_product,64,13988,103225,50009
colum_dot_product,128,53198,409925,13161
colum_dot_product,256,477178,1913010,1469
colum_dot_product,512,2879136,8788439,243
colum_dot_product,1024,10754227,36488936,65
rows_dot_product,2,156,367,4492315
rows_dot_product,4,287,731,2447067
rows_dot_product,8,600,2052,1168298
rows_dot_product,16,1512,7278,463257
rows_dot_product,32,4587,26998,152777
rows_dot_product,64,22812,111835,30701
rows_dot_product,128,109290,464935,6412
rows_dot_product,256,1725592,3150034,405
rows_dot_product,512,14553600,20433669,48
rows_dot_product,1024,58694391,84163827,12
cauchy_lpdf,2,421,647,1664787
cauchy_lpdf,4,524,834,1333531
cauchy_lpdf,8,723,1205,969324
cauchy_lpdf,16,1261,2117,554636
cauchy_lpdf,32,2045,3613,342542
cauchy_lpdf,64,3580,6584,195518
cauchy_lpdf,128,6602,12407,106016
cauchy_lpdf,256,13084,24692,53545
cauchy_lpdf,512,25404,48160,27538
cauchy_lpdf,1024,50168,95282,13929
cauchy_cdf,2,210,423,3335236
cauchy_cdf,4,298,603,2351806
cauchy_cdf,8,464,941,1509636
cauchy_cdf,16,803,1630,871201
cauchy_cdf,32,1473,3008,475979
cauchy_cdf,64,2759,5721,253491
cauchy_cdf,128,5335,11118,131329
cauchy_cdf,256,10567,22137,66218
cauchy_cdf,512,21019,43812,33347
cauchy_cdf,1024,42786,87856,16354
cauchy_lcdf,2,244,457,2870777
cauchy_lcdf,4,367,677,1911051
cauchy_lcdf,8,606,1089,1154415
cauchy_lcdf,16,1094,1928,640090
cauchy_lcdf,32,2082,3623,336218
cauchy_lcdf,64,4009,6970,174607
cauchy_lcdf,128,7866,13634,89024
