benchmark,n,time,cpu,iterations
ordered_cotrain,16,431,652,1619218
ordered_cotrain,32,738,1134,950427
ordered_cotrain,64,1381,2095,508456
ordered_cotrain,128,2666,4109,262498
ordered_cotrain,256,5305,8079,132134
ordered_cotrain,512,10209,15579,68582
ordered_cotrain,1024,20134,31171,34751
positive_ordered_cotrain,2,169,241,4121865
positive_ordered_cotrain,4,211,313,3328697
positive_ordered_cotrain,8,292,428,2398047
positive_ordered_cotrain,16,452,673,1560362
positive_ordered_cotrain,32,758,1148,927968
positive_ordered_cotrain,64,1393,2128,498449
positive_ordered_cotrain,128,2677,4129,261104
positive_ordered_cotrain,256,5309,8145,131941
positive_ordered_cotrain,512,10224,15649,68475
positive_ordered_cotrain,1024,20289,31121,34489
simplex_cotrain,2,242,315,2898709
simplex_cotrain,4,350,452,2003285
simplex_cotrain,8,589,730,1191990
simplex_cotrain,16,1051,1280,665019
simplex_cotrain,32,1952,2354,357742
simplex_cotrain,64,3748,4496,186923
simplex_cotrain,128,7419,8859,94530
simplex_cotrain,256,14748,17413,47485
simplex_cotrain,512,28787,34259,24236
simplex_cotrain,1024,57129,68131,12233
